Image,X1,Y1,X2,Y2,distance,theta1,theta2,time,X_mean,Y_mean,displacement1,displacement2,displacement
NX4-S3 Camera000200.jpg,0.0032895660000000003,0.0029940960000000003,0.003499678,0.003499678,0.0005475036175843955,81.41637851988605,95.12131651077861,0.016666666666666666,0.003394622,0.0032468870000000004,0.004448129418707599,0.004949292091538748,0.004698710755123174
NX4-S3 Camera000202.jpg,0.003256736,0.0030072280000000002,0.00347998,0.0035062440000000004,0.0005466761854992406,85.8150838748816,88.94559549647816,0.03333333333333333,0.003368358,0.0032567360000000005,0.004432803809969487,0.004940041273910169,0.004686422541939828
NX4-S3 Camera000206.jpg,0.00318451,0.003026926,0.0034011880000000003,0.003539074,0.0005560979496347743,85.8150838748816,90.81845546168861,0.06666666666666667,0.0032928490000000005,0.0032830000000000003,0.004393561761211057,0.004908474772148677,0.004651018266679867
NX4-S3 Camera000208.jpg,0.003145114,0.0030531900000000003,0.003374924,0.00354564,0.0005434331960784141,88.42344994481627,84.96621304379995,0.08333333333333333,0.0032600190000000003,0.003299415,0.004383344755902278,0.004895066395400169,0.004639205575651223
NX4-S3 Camera000210.jpg,0.0031057180000000004,0.003072888,0.0033486600000000003,0.003558772,0.000543234826589754,86.45523354440512,85.23635830927383,0.1,0.003227189,0.00331583,0.0043689958750344465,0.004886551129742122,0.004627773502388284
NX4-S3 Camera000212.jpg,0.0030663220000000002,0.00308602,0.003322396,0.0035719040000000003,0.0005492332427411874,83.1909498203866,98.45502767717745,0.11666666666666667,0.003194359,0.0033289620000000004,0.004350385045956737,0.0048781977579872675,0.004614291401972002
NX4-S3 Camera000228.jpg,0.00275772,0.003473414,0.003256736,0.0036769600000000004,0.0005389322242842786,89.29268063145574,82.4270513594566,0.25,0.003007228,0.0035751870000000005,0.004435045029511651,0.0049118595475945775,0.004673452288553114
NX4-S3 Camera000240.jpg,0.002731456,0.0038082800000000003,0.003269868,0.003762318,0.0005403702315894169,84.52645302807001,87.51044707800085,0.35,0.0030006620000000003,0.003785299,0.00468656040591989,0.0049846838887283515,0.004835622147324121
NX4-S3 Camera000242.jpg,0.002738022,0.0038608080000000003,0.0032764340000000004,0.00377545,0.0005451361939075408,75.06858282186246,89.82947735016612,0.36666666666666664,0.0030072280000000002,0.003818129,0.004733138798445277,0.004998904125791572,0.004866021462118425
NX4-S3 Camera000244.jpg,0.0027642860000000003,0.003919902,0.0032961320000000002,0.003782016,0.0005494294465279414,68.8209483052073,99.03416878189817,0.3833333333333333,0.0030302090000000003,0.003850959,0.004796551759274573,0.005016784945129699,0.004906668352202137
NX4-S3 Camera000246.jpg,0.002783984,0.003959298,0.003302698,0.0037951480000000004,0.0005440674924088003,72.27237054562224,99.16234704572172,0.4,0.003043341,0.003877223,0.004840104086180378,0.005031000141235141,0.0049355521137077595
NX4-S3 Camera000260.jpg,0.0030597560000000003,0.004281032000000001,0.0033946220000000004,0.003827978,0.0005633765746567743,83.27233902746946,92.93567344642118,0.5166666666666666,0.003227189,0.004054505,0.005262066301801984,0.00511633404806293,0.005189200174932457
NX4-S3 Camera000270.jpg,0.0033355280000000004,0.004372956,0.0034537160000000003,0.003827978,0.0005576463250376532,85.97173633351487,82.8749836510982,0.6,0.0033946220000000004,0.004100467,0.00549986283617328,0.00515573174022272,0.005327797288198001
